Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
AMST 301-01,Critical Prison Studies,Days: M,Time: 07:00 pm-10:00 pm,Room:,Instructor: Karin Aguilar-San Juan,Avail./Max.: 16 / 16,"This Junior Seminar in civic engagement offers upper-level students an opportunity to study - through internships and reflection - and to actively engage with the problem of racialized mass-incarceration on a local, regional, and national scale. During any given semester, the seminar may focus on a specific aspect of the problem, such as: ex-felon disenfranchisement, families and juvenile justice, restorative justice, political prisoners, or prison art and literature. This course requires prior exposure to American Studies (preferably including a critical methods course). Note: The seminar will run concurrently with optional internships specifically created for this course, and a required reflection ""lab"" period. Placement in these internships is highly recommended. Students must obtain permission to enroll in these internships. Prerequisite(s): AMST 200Â .",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=301&section-1=01,*First day attendance required*
AMST 308-01,Introduction to U.S. Latinx Studies,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Galo Gonzalez,Avail./Max.: 15 / 15,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305Â .",['U.S. Identities and Differences'],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=308&section-1=01,*First day attendance required; cross-listed with LATI 308-01 and SPAN 308-01*
AMST 394-01,Latinx in the Midwest,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Alicia Munoz,Avail./Max.: 16 / 16,"This course uses literature, film, and scholarly works to explore the Latinx experience in the Midwest. We will examine how this population creates and sustains community, constructs their own sense of Latinidad, and how that identity and its cultural practices are informed by and impact the region. Events involving the Twin Citiesâ€™ Latinx communities will enrich our learning and discussions. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 308 or consent of the instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=394&section-1=01,*First day attendance required; cross-listed with LATI 394-01 and SPAN 394-01*
AMST 400-01,Senior Seminar,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Karin Aguilar-San Juan,Avail./Max.: 16 / 16,The Senior Capstone is required of all majors. Majors who meet college criteria are encouraged to conduct an honors project in conjunction with their Senior Capstone.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=AMST&course-1=400&section-1=01,*First day attendance required*
ANTH 101-01,General Anthropology,Days: M W F,Time: 08:30 am-09:30 am,Room:,Instructor: Scott Legge,Avail./Max.: 30 / 30,"This course is an introduction to the discipline of anthropology as a whole. It presents students with a theoretical grounding in the four major subfields: archaeology, biological anthropology, cultural anthropology, and linguistics. In this class the emphasis is on the holistic nature of the discipline. Students will be challenged with some of the countless links between the systems of biology and culture. They will explore key questions about human diversity in the past, present, and future. Prerequisite(s): Not open to students who've taken ANTH 111Â .",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=101&section-1=01,
ANTH 111-01,Cultural Anthropology,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Dianna Shandy,Avail./Max.: 30 / 30,"The cultural perspective on human behavior including case studies, often illustrated by ethnographic films and slides, of non-Western and American cultures. May include some field interviewing. Includes the cross cultural treatment of economic, legal, political, social and religious institutions and a survey of major approaches to the explanation of cultural variety and human social organization. Prerequisite(s): Not open to students who've taken ANTH 101Â .",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=111&section-1=01,
ANTH 194-01,Defense Against the Dark Arts,Days:  T R,Time: 03:00 pm-04:30 pm,Room: CARN 06B,Instructor: Ron Barrett,Avail./Max.: 15 / 15,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=194&section-1=01,*First-Year Course only; first day attendance required*
ANTH 239-01,Medical Anthropology,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Ron Barrett,Avail./Max.: 30 / 30,"This course examines issues of health, illness, and healing from a variety of anthropological perspectives. From a cross-cultural perspective, we will examine the diversity of beliefs about human health and sickness, and a variety of healing practices by which people treat them. From the perspective of critical epidemiology, we will wrestle with recurrent problems of socioeconomic inequalities, ecological disruptions, and their impact upon the differential distribution, prevention, and treatment of human diseases. Previous courses in anthropology are recommended but not required.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=239&section-1=01,*First day attendance required*
ANTH 253-01,Comparative Muslim Cultures,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Jenna Rice Rahaim,Avail./Max.: 20 / 20,"This course is an introduction to the diverse lifeways of Muslims around the world, looking at how understandings and practice of Islam are shaped by social, economic, and political factors. It examines the Qur'an and hadith, and other authoritative texts that ground Islamic jurisprudence, and explores the diverse ways in which Muslims have understood and interpreted these teachings in locations across the world-such as Indonesia, the Middle East, South Asia, Europe and the United States - and at various points in history. The specific focus may vary with each offering, responding to instructor expertise and focus, emerging and volatile situations worldwide, or new advances in the field.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=253&section-1=01,*Cross-listed with INTL 253-01*
ANTH 294-01,Digital Archaeology: Digitizing the Human Experience,Days:  T R,Time: 09:40 am-11:10 am,Room:,"Instructor: Legge, Overman",Avail./Max.: 16 / 16,"Digital Archaeology: Digitizing the Human Experience - Digital visualization technologies are increasingly important across nearly all academic disciplines. In Archaeology and Anthropology, these tools are being used to showcase artifacts and research findings in an ever-expanding digital space. This course will focus on the development of a digital exhibition project using materials from one of the repositories on Macalesterâ€™s campus, such as the archives, Art stores, public art, or even research/teaching collections. Teams of students will formulate their goals for a digital exhibit based on assigned readings addressing theory and practice in virtual spaces in museums. Students will gain familiarity with a range of digitization technologies available at Macalester including those used in photogrammetry, 3D scanning, 3D printing, and more.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=294&section-1=01,*Cross-listed with CLAS 294-01*
ANTH 294-02,"Race, Racisms. Decolonization: Lessons From Southern Africa",Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Dianna Shandy,Avail./Max.: 20 / 20,"The construction and production of race and racisms are key elements in the socio-historical development of both Southern Africa and the United States. Comparative inquires of this nature typically begin with the United States and look for exemplars in other parts of the world. This course takes a somewhat different tack by centering Southern Africa (primarily South Africa and Namibia) to consider what Southern African societies can teach us, in the United States, not only about the production and consequences of race and racisms, but also about decolonization and dismantling the legacy of race and racism in a society and its institutions. The course will start with a broad historical sweep to consider what was happening in Southern Africa before the onset of colonization and continue up to the present, including the #FeesMustFall student revolt of October 2015 and beyond.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=294&section-1=02,
ANTH 358-01,Anthropology of Violence,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Olga Gonzalez,Avail./Max.: 20 / 20,"Faced with the escalation of political and ethnic violence in the modern world, anthropologists have become increasingly aware of the need to address these realities which have forced a rethinking of the meaning of violence as a social and cultural phenomenon. This course interrogates the slippery concept of violence in the light of theoretical approaches from different disciplines. The course will begin with a discussion of how anthropologists have reexamined the concept of violence within the context of complex and large-scale societies. It will then address the preponderate weight that the concept of the state has played within the social sciences in interpretation of violence, followed by a consideration of how notions of community and cultural difference figure prominently in the ideology of conflict. Prerequisite(s): ANTH 101 or ANTH 111 .",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=358&section-1=01,
ANTH 368-01,Life Histories/Cultures/Selves,Days: M,Time: 07:00 pm-10:00 pm,Room:,Instructor: Dianna Shandy,Avail./Max.: 16 / 16,"This seminar focuses on the relationship between individuals and their culture. Students will record, edit, and analyze personal documents such as diaries, letters, interview transcriptions, and autobiographies. Analysis of life events such as childhood play activities, family meals, kinship relations, and modes of communication, will lead to the identification of cultural themes. Prerequisite(s): ANTH 101 or ANTH 111 .",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=368&section-1=01,
ANTH 394-01,"Poetics, Performance, and Political Speech",Days:   W,Time: 07:00 pm-10:00 pm,Room:,Instructor: Jenna Rice Rahaim,Avail./Max.: 16 / 16,"Poetics, Performance, and Political Speech - In the context of the 2020 United States presidential debates, this course will provide students with a series of theoretical frameworks for analyzing political speech. The semester will begin with an intensive introduction to key theories and methods in linguistic anthropology, sociolinguistics, and philosophy of language. Students will then explore how these theories have been used to make sense of political speech around the world â€“ from political slogans in the former Soviet Union to Tamil democratic oratory in South India. Students will also have the opportunity to observe language in actual social settings and analyze the US presidential debates and televised political satire. Themes will include metaphor, rhetoric, performance, prosody, gesture, gender, class and race, economy and globalization, and new media. No prerequisites.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=394&section-1=01,*Cross-listed with LING 394-01*
ANTH 487-01,Theory in Anthropology,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Olga Gonzalez,Avail./Max.: 16 / 16,"This course introduces students to the broad range of explanations for social and cultural phenomena used by anthropologists since the emergence of the discipline in the 19th century. The course focuses on the development of three broad theoretical approaches: The American school of cultural anthropology, British social anthropology, and the French school that emerged from the work of Durkheim and his followers. The course also examines theoretical approaches such as cultural materialism, and symbolic and interpretive approaches to the study of culture. Prerequisite(s): Junior or senior standing.  Students should have at least two courses in anthropology including ANTH 101 or ANTH 111, or the permission of the instructor.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ANTH&course-1=487&section-1=01,*First day attendance required*
ART 130-01,Drawing I,Days: M W,Time: 08:00 am-11:40 am,Room: ART 302,Instructor: Megan Vossler,Avail./Max.: 15 / 15,"This studio course is an introduction to fundamental drawing materials and techniques. Students explore a variety of themes and subjects, including still life, architecture, figure drawing, portraiture, and imagination. Formal elements covered include: line, value, volume, space, proportion, perspective, mark-making, and composition. Context for assignments is given through frequent discussion of both historical and contemporary artworks. In group critiques and discussions, we consider composition, representational accuracy, creative expression, content, and intention. Two three-hour periods per week. (4 credits)",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=130&section-1=01,*First day attendance required*
ART 131-01,Ceramics I,Days: M W F,Time: 09:40 am-11:40 am,Room: ART 113,Instructor: Summer Hills-Bonczyk,Avail./Max.: 14 / 14,"This introductory Ceramic Art course will provide a supportive studio environment for the exploration of diverse approaches to the ceramic field, ranging from investigation of utilitarian object making to sculptural practice. Techniques and applications for both handbuilding and wheel throwing will be presented. Emphasis is placed on development and understanding of strong three-dimensional forms as well as the relationship with surface decoration. Content-based assignments allow for individual expression through creative problem solving. Writing assignments will be used for idea generation, integration of course content and critical thinking. The course goal is to present students with a historical perspective and the understanding of contemporary ceramics, building an appreciation for the spirit of the handmade object as well as preparing students for upper level self-directed work. Lectures, demonstrations, critiques, writing assignments and gallery/museum visits will supplement studio work. Learning will be assessed primarily through portfolio production, and review, along with class participation.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=131&section-1=01,*First-Year Course only; first day attendance required; $100 materials fee charged*
ART 131-02,Ceramics I,Days: M W F,Time: 01:10 pm-03:10 pm,Room: ART 113,Instructor: Summer Hills-Bonczyk,Avail./Max.: 14 / 14,"This introductory course will provide a supportive studio environment for the exploration of diverse approaches to the ceramic field, ranging from investigation of utilitarian object making to sculptural practice. Techniques and applications for both handbuilding and wheel throwing will be presented. Emphasis is placed on development and understanding of strong three-dimensional forms as well as the relationship with surface decoration. Content-based assignments allow for individual expression through creative problem solving. The course goal is to present students with a historical perspective and the understanding of contemporary ceramics, building an appreciation for the spirit of the handmade object as well as preparing students for upper level self-directed work. Lectures, demonstrations, critiques and gallery/museum visits will supplement studio work. Learning will be assessed primarily through portfolio production and review, along with class participation. Three two-hour periods per week. $100 materials fee is required.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=131&section-1=02,*First day attendance required; $100 materials fee required*
ART 149-01,Introduction to Visual Culture,Days: M W F,Time: 09:40 am-10:40 am,Room: ARTCOM 102,Instructor: Kari Shepherdson-Scott,Avail./Max.: 30 / 30,"This course examines material and symbolic practices through myriad visual culture forms, from standards of fine art such as painting and sculpture to mass media including TV, film, advertising, and the Internet. Students will learn different theoretical paradigms and techniques for visual analysis in order to understand how visual culture mediates numerous social, economic, cultural and political relationships. We will investigate these diverse practices through lectures, guest speakers, film, historical art and media and, of course, those proliferating images that define our daily experiences. Offered every Fall.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=149&section-1=01,
ART 160-01,Art of the West I,Days: M W F,Time: 02:20 pm-03:20 pm,Room: ARTCOM 102,Instructor: Serdar Yalcin,Avail./Max.: 30 / 30,"â€‹This course surveys the visual and material culture of Europe, the Middle East and the broader Mediterranean world from prehistory through the late Medieval period, including early Christian, Jewish and Islamic cultures. We consider the artistic and archaeological remains from the Near East, Egypt, the Aegean, Greece, Etruria, Rome, and western Europe from a contextual perspective in order to understand each culture's ideologies, and the diverse social and artistic purposes for which art and architecture was created and used.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=160&section-1=01,*Cross-listed with CLAS 260-01*
ART 170-01,Art of the East I: China,Days: M W F,Time: 01:10 pm-02:10 pm,Room: ARTCOM 102,Instructor: Kari Shepherdson-Scott,Avail./Max.: 25 / 25,"This course examines the art and visual culture of China from the Neolithic era to the twenty-first century. Lectures and readings will teach methods of formal visual analysis as well as provide the opportunity for students to think critically about how scholars write the artistic history of the region. Through this class, students will engage with a broad array of media, from jade carvings, Buddhist cave painting, architecture, calligraphy and monumental landscape paintings to ceramics, imperial palaces, and contemporary installations. While examining the intended meanings and functions of these objects and spaces, we will discuss the varied contexts and value systems that have informed visual production in China.",['Internationalism'],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=170&section-1=01,*Cross-listed with ASIA 170-01**
ART 230-01,Color,Days:  T R,Time: 08:00 am-11:10 am,Room: ART 202,Instructor: Chris Willcox,Avail./Max.: 15 / 15,"This studio course introduces the basic principles of color in the visual arts and wider culture. Â Students explore a range of topics, including the historical uses of color, the psychology of color and the formal elements of color including: value, temperature, color interaction, afterimage and color as a design element. The class will be comprised of a series of small color studies advancing to more involved studio assignments. Some projects will be completed using paint while others will use media chosen by the student. The class will include painting/color demonstrations, color assignments, image presentations, readings, museum visits, individual and group critiques.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=230&section-1=01,*First day attendance required*
ART 233-01,Photography I,Days: M W F,Time: 09:40 am-11:40 am,Room: ART 301,Instructor: Eric Carroll,Avail./Max.: 16 / 16,"This course introduces the conceptual, technical, and historical aspects of photography within a fine-arts context. The emphasis throughout is on photography as a creative and expressiveÂ medium and will introduce strategies and methods related to this goal through assignments and class activities. Students will learn the foundational aspects of digital photography from manual camera operation to the editing of images through Adobe Lightroom and Photoshop. Along the way, students will be introduced to the digital workflow, the critique process, and how to take their images from screen to print. Presentations and assigned readings will help students develop the critical and creative skills needed to understand how artistic photographs function in society and culture. $75 materials fee charged for course to cover printer paper and ink. Note: A digital SLR camera is required for this course--students may be able to rent one from the department on a first-come, first-served basis.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=233&section-1=01,*First day attendance required; $75 materials fee required*
ART 234-01,Painting I,Days:  T R,Time: 01:20 pm-04:30 pm,Room: ART 308,Instructor: Chris Willcox,Avail./Max.: 15 / 15,"An introduction to the studio practice of painting, using oil paint on a variety of supports ranging from paper, board and canvas to non-traditional painting surfaces. Exploration of the practical techniques and mechanics of painting as well as a consideration of content and meaning will be studied. Topics that will be studied include: paint-mixing, color matching, composition, design and a variety of painting styles. Readings and class discussions of historical and contemporary painting practices and issues will develop a visual vocabulary as well as critical/theoretical knowledge to complement technical skills. Lectures, demonstrations, critiques and a gallery/museum visit will supplement studio work. Three two-hour periods per week.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=234&section-1=01,*First day attendance required*
ART 235-01,Sculpture I: Basic Sculpture with a Dose of Hot Metal,Days:  T R,Time: 08:00 am-11:10 am,Room: ART 118,Instructor: STAFF,Avail./Max.: 16 / 16,"We will explore the tools and processes available in the sculpture studio, including the woodworking and metal shops. The class progresses from basic sculptural techniques to more student-driven, conceptual assignements. The course includes readings, student critiques and a museum visit. $150 materials fee charged. Prerequisite(s): ART 130 is recommended.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=235&section-1=01,*First day attendance required; $150 materials fee required*
ART 236-01,Printmaking I,Days:  T R,Time: 01:20 pm-04:30 pm,Room: ART 214,Instructor: Ruthann Godollei,Avail./Max.: 15 / 15,"A hands-on introduction to original printmaking in the media of relief, etching, lithography and handset type. Included are discussions of aesthetics, the impact of printed imagery on our society, printmaking practices from around the world and field trips to local exhibits and museum collections. Emphasis is on individual expression and appropriate techniques for the content. Two three-hour periods per week.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=236&section-1=01,*First day attendance required*
ART 239-01,2-D Design,Days: M W F,Time: 01:10 pm-03:10 pm,Room: ART 301,Instructor: Eric Carroll,Avail./Max.: 16 / 16,"In this foundations course we explore the fundamentals of two-dimensional design through a series of hands-on and digital projects. Topics such as the design process, pattern development and application, typography and branding are explored through both fine-art and commercial design projects. Demonstrations, presentations, and artist talks are included in addition to lab time and class discussions.  Students will finish the semester with a sketchbook full of ideas, a self-directed final project, and a well-rounded design portfolio. Software introduced includes Adobe Illustrator, Photoshop, and InDesign. Three two-hour periods per week.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=239&section-1=01,*First day attendance required*
ART 252-01,"Gender, Sexualities, and Feminist Visual Culture",Days:  T R,Time: 09:40 am-11:10 am,Room: ARTCOM 102,Instructor: Joanna Inglot,Avail./Max.: 16 / 16,"This course examines the ways in which gender and sexuality are understood in modern visual culture. It also covers a wide range of feminist approaches in the 20th and 21st century art and as they have been articulated in theory. Students explore social constructions of gender and sexualities, their visible and invisible representation, and discuss the impact of feminism and the changing role of women in society. The course will also cover some of the most recent global feminist trends and new directions in the feminist theory. Feminist work from Africa, India, Asia and Eastern and Central Europe and various marginalized cultural centers in Western Europe and the United States will be addressed.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=252&section-1=01,*First-Year Course only; cross-listed with WGSS 252-01*
ART 280-01,Art and Architecture of Ancient Egypt,Days: M W F,Time: 10:50 am-11:50 am,Room: ARTCOM 102,Instructor: Serdar Yalcin,Avail./Max.: 20 / 20,"This course explores the making and function of art and architecture in ancient Egypt along with its socio-economic and political context from pre-dynastic times (ca. 5300 - 3000 BCE) to the Roman era (30 BCE - 391 CE). The lectures and class discussions will focus on concepts of design, representation and aesthetics in Egypt, and explore the uses of art objects and monuments in politics, religion, private and state cults, and burial practices. Addressing topics such as pharaonic ideology, imperialism, gender, and afterlife, this course will help students comprehend the fundamental place of art and visual culture in the creation and sustenance of one of the oldest civilizations in the world.",[],['Fine arts'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ART&course-1=280&section-1=01,
